iter	RMSE
0	0.6768339605
1	0.6705477687
2	0.664459147
3	0.6587778935
4	0.652873409
5	0.6477465128
6	0.6421433993
7	0.6378408378
8	0.6329004911
9	0.6281697046
10	0.6241342884
11	0.6199569796
12	0.6160452765
13	0.6124585373
14	0.6089146787
15	0.6051834096
16	0.6021190458
17	0.598794438
18	0.5962012221
19	0.5932925771
20	0.5900386892
21	0.5873643883
22	0.5850237531
23	0.5827274885
24	0.5797323259
25	0.5775335099
26	0.5753286511
27	0.5732062516
28	0.5709721664
29	0.5686867856
30	0.5663405327
31	0.5643443523
32	0.5622307726
33	0.5608033192
34	0.5589465692
35	0.5571430645
36	0.5554497761
37	0.5540716157
38	0.5525682211
39	0.5509850837
40	0.5495236815
41	0.5479564004
42	0.5463920714
43	0.5450971173
44	0.5436341834
45	0.5424362552
46	0.5415619796
47	0.5402842603
48	0.5394196487
49	0.5382441262
50	0.5370793244
51	0.5359742285
52	0.5348289087
53	0.533996722
54	0.5330911116
55	0.5320148812
56	0.5312418937
57	0.5302750808
58	0.529470701
59	0.5285946705
60	0.5278802557
61	0.5272727684
62	0.5270275691
63	0.5263443084
64	0.5255020952
65	0.5249720429
66	0.5244401552
67	0.5238624295
68	0.5232786136
69	0.5225741611
70	0.5219221343
71	0.5212384125
72	0.5203688649
73	0.5197082262
74	0.5189580525
75	0.5184223234
76	0.5178897512
77	0.517487708
78	0.5168005967
79	0.5160357262
80	0.5153055587
81	0.5147138269
82	0.5140462392
83	0.5133761547
84	0.5128158864
85	0.5124856129
86	0.5118571767
87	0.5114836544
88	0.5110002422
89	0.5105445264
90	0.5102029385
91	0.5096931475
92	0.5092848979
93	0.508892408
94	0.508369372
95	0.5078948961
96	0.5077103106
97	0.5073260582
98	0.5070683885
99	0.5067698834
100	0.5062649067
101	0.5059231463
102	0.5054084788
103	0.5051468076
104	0.5046842239
105	0.5043939082
106	0.5041814202
107	0.5039275756
108	0.5034633427
109	0.5030184345
110	0.5027901566
111	0.502477142
112	0.5020289837
113	0.5018223044
114	0.5013410048
115	0.5011190069
116	0.5008214015
117	0.5003552601
118	0.4999364949
119	0.4997079585
120	0.4993230919
121	0.4991323405
122	0.4988222811
123	0.4985561696
124	0.4982199948
125	0.4979485337
126	0.4977636856
127	0.4974814946
128	0.4972662384
129	0.4968865525
130	0.4965226121
131	0.4961403833
132	0.4958509737
133	0.4953469108
134	0.4951853035
135	0.495075058
136	0.4948645953
137	0.4944163768
138	0.4940414778
139	0.4939090803
140	0.493672408
141	0.4934549667
142	0.4933148721
143	0.4929774002
144	0.4928114504
145	0.4926629839
146	0.4925110414
147	0.4922965256
148	0.4921056144
149	0.4919039644
150	0.4918763725
151	0.4917535093
152	0.4915648833
153	0.4914391648
154	0.4909740634
155	0.490749619
156	0.4904310224
157	0.4902312371
158	0.4899232307
159	0.4896903574
160	0.4894001273
161	0.4892220753
162	0.488798608
163	0.4884990366
164	0.4881431199
165	0.4880444137
166	0.4878733309
167	0.487756449
168	0.4875652763
169	0.4871243143
170	0.4869139383
171	0.4868328136
172	0.4867172976
173	0.4863866452
174	0.4863349306
175	0.4860660101
176	0.4857047306
177	0.4855361544
178	0.4851652555
179	0.4850576589
180	0.4848934596
181	0.4847185241
182	0.4845657833
183	0.4842148529
184	0.4840961511
185	0.4839083724
186	0.4836814215
187	0.4835645024
188	0.4834119191
189	0.4832995143
190	0.4831853267
191	0.4829269452
192	0.4827407704
193	0.4825934812
194	0.4823488172
195	0.4822526905
196	0.4821131452
197	0.4818947801
198	0.4816570489
199	0.4815221817
200	0.481266928
201	0.4811265396
202	0.4810212515
203	0.4809070862
204	0.4806315357
205	0.4803496841
206	0.480155521
207	0.4800004919
208	0.4798831688
209	0.4796506167
210	0.479493124
211	0.4793863524
212	0.4792230404
213	0.4790286112
214	0.47887907
215	0.4786733087
216	0.4784778244
217	0.4783158711
218	0.4780222834
219	0.4779056459
220	0.4778182483
221	0.477446301
222	0.4772738497
223	0.477176185
224	0.4770356157
225	0.4769073491
226	0.476729977
227	0.4766363874
228	0.4766216426
229	0.4762838576
230	0.4761925206
231	0.4761370112
232	0.4760339528
233	0.4758705541
234	0.4756560039
235	0.4754879489
236	0.4753687425
237	0.4752790484
238	0.475006016
239	0.4748617245
240	0.4746152374
241	0.4743733449
242	0.4741397808
243	0.4737915914
244	0.4736292961
245	0.4734451864
246	0.473224949
247	0.4730508175
248	0.4729407964
249	0.4727239825
250	0.4725833471
251	0.4724262291
252	0.472212193
253	0.471974752
254	0.4717942161
255	0.4716210907
256	0.4714670965
257	0.4713420865
258	0.4712588849
259	0.4708531139
260	0.4707821985
261	0.4704847258
262	0.4702580769
263	0.4700062697
264	0.4698660805
265	0.4695974845
266	0.469522221
267	0.4694237987
268	0.4691685065
269	0.4690617864
270	0.4690527997
271	0.4689110397
272	0.4687781214
273	0.4687396077
274	0.4686931009
275	0.4684368238
276	0.4683174114
277	0.4681556554
278	0.4678268666
279	0.4676304546
280	0.4674872879
281	0.4674515678
282	0.466984854
283	0.4668001645
284	0.4664758271
285	0.4661317764
286	0.4659231916
287	0.465808799
288	0.4654660691
289	0.465372256
290	0.4652063026
291	0.4650861969
292	0.4648946789
293	0.4646696569
294	0.4644673713
295	0.4641825629
296	0.4639048961
297	0.4638237746
298	0.4636090633
299	0.4634650693
