iter	Passed	Remaining
0	67	20129
1	125	18661
2	196	19501
3	264	19585
4	325	19212
5	386	18914
6	448	18780
7	508	18552
8	565	18279
9	632	18343
10	695	18284
11	757	18183
12	818	18067
13	885	18095
14	945	17966
15	1034	18359
16	1099	18295
17	1160	18175
18	1218	18016
19	1280	17931
20	1339	17795
21	1412	17851
22	1473	17743
23	1535	17663
24	1597	17568
25	1661	17509
26	1719	17384
27	1777	17268
28	1850	17295
29	1914	17233
30	1972	17115
31	2036	17054
32	2098	16982
33	2183	17084
34	2255	17074
35	2318	16999
36	2381	16926
37	2445	16859
38	2505	16770
39	2570	16707
40	2637	16659
41	2698	16574
42	2754	16465
43	2814	16372
44	2876	16297
45	2933	16198
46	3001	16159
47	3064	16087
48	3127	16019
49	3189	15947
50	3257	15903
51	3318	15826
52	3399	15840
53	3460	15764
54	3527	15712
55	3588	15634
56	3654	15579
57	3712	15488
58	3780	15442
59	3840	15362
60	3902	15291
61	3959	15200
62	3962	14905
63	4022	14834
64	4084	14766
65	4140	14681
66	4216	14663
67	4277	14592
68	4368	14624
69	4436	14577
70	4506	14534
71	4582	14510
72	4642	14437
73	4706	14373
74	4765	14297
75	4823	14215
76	4885	14150
77	4943	14069
78	5011	14020
79	5074	13954
80	5134	13882
81	5206	13840
82	5269	13777
83	5329	13705
84	5402	13665
85	5463	13594
86	5523	13524
87	5579	13442
88	5640	13373
89	5699	13299
90	5771	13256
91	5846	13218
92	5908	13151
93	5964	13071
94	6020	12991
95	6084	12929
96	6143	12857
97	6211	12804
98	6271	12733
99	6333	12666
100	6390	12590
101	6457	12535
102	6515	12461
103	6573	12388
104	6645	12341
105	6706	12273
106	6762	12197
107	6821	12127
108	6885	12065
109	6945	11996
110	7015	11945
111	7079	11882
112	7139	11815
113	7196	11741
114	7258	11676
115	7317	11607
116	7381	11544
117	7450	11491
118	7510	11423
119	7567	11350
120	7624	11278
121	7687	11216
122	7743	11143
123	7811	11087
124	7881	11034
125	7941	10967
126	7999	10896
127	8063	10835
128	8124	10769
129	8205	10729
130	8265	10662
131	8323	10593
132	8381	10524
133	8449	10466
134	8507	10398
135	8570	10335
136	8634	10273
137	8697	10210
138	8755	10140
139	8817	10077
140	8875	10008
141	8933	9940
142	9003	9884
143	9065	9821
144	9125	9754
145	9183	9686
146	9244	9622
147	9303	9555
148	9371	9497
149	9433	9433
150	9435	9311
151	9499	9249
152	9560	9185
153	9622	9122
154	9680	9055
155	9735	8986
156	9807	8932
157	9869	8869
158	9926	8802
159	9985	8736
160	10050	8677
161	10109	8611
162	10177	8554
163	10237	8489
164	10299	8427
165	10356	8359
166	10416	8296
167	10492	8244
168	10562	8187
169	10621	8122
170	10680	8057
171	10737	7990
172	10799	7928
173	10856	7861
174	10860	7757
175	10917	7692
176	10986	7634
177	11052	7574
178	11113	7512
179	11180	7453
180	11242	7391
181	11298	7325
182	11367	7267
183	11427	7204
184	11490	7142
185	11548	7077
186	11612	7017
187	11672	6953
188	11735	6892
189	11804	6833
190	11865	6771
191	11925	6708
192	11984	6644
193	12047	6582
194	12106	6518
195	12175	6460
196	12234	6396
197	12296	6334
198	12355	6270
199	12416	6208
200	12477	6145
201	12533	6080
202	12597	6019
203	12663	5959
204	12721	5895
205	12781	5832
206	12847	5772
207	12905	5708
208	12960	5643
209	13031	5585
210	13091	5522
211	13152	5459
212	13210	5395
213	13272	5333
214	13330	5270
215	13388	5206
216	13459	5148
217	13520	5085
218	13581	5023
219	13637	4959
220	13701	4897
221	13758	4833
222	13822	4772
223	13885	4711
224	13942	4647
225	14001	4584
226	14066	4523
227	14123	4460
228	14126	4379
229	14187	4318
230	14265	4261
231	14325	4198
232	14381	4135
233	14436	4071
234	14501	4010
235	14560	3948
236	14616	3885
237	14684	3825
238	14747	3763
239	14808	3702
240	14865	3639
241	14926	3577
242	14983	3514
243	15049	3454
244	15110	3392
245	15171	3330
246	15240	3270
247	15312	3210
248	15371	3148
249	15431	3086
250	15505	3026
251	15580	2967
252	15651	2907
253	15712	2845
254	15786	2785
255	15850	2724
256	15912	2662
257	15974	2600
258	16048	2540
259	16118	2479
260	16183	2418
261	16250	2356
262	16308	2294
263	16365	2231
264	16455	2173
265	16521	2111
266	16580	2049
267	16639	1986
268	16705	1925
269	16773	1863
270	16776	1795
271	16836	1733
272	16926	1674
273	16928	1606
274	16938	1539
275	16997	1478
276	17061	1416
277	17126	1355
278	17193	1294
279	17256	1232
280	17317	1170
281	17384	1109
282	17587	1056
283	17756	1000
284	17814	937
285	17874	874
286	17941	812
287	18003	750
288	18064	687
289	18120	624
290	18184	562
291	18241	499
292	18297	437
293	18367	374
294	18429	312
295	18494	249
296	18550	187
297	18612	124
298	18672	62
299	18734	0
