Job Title,Company Name,Location,Experience Required,Salary,Skills Required,Job Description,Posted Date,Scrape Date,Job Link,Source Platform,Standardized_Job_Title,days_sinced_posted,salary_min,salary_max,salary_avg,Experience_Years
Punjabi-Speaking Online Data Analyst,"TELUS International AI Inc. (Las Vegas, United States)",Remote,No experience required,"₹ 4,50,000 - 4,60,000","['English Proficiency (Spoken)', 'English Proficiency (Written)', 'Punjabi Proficiency (Spoken)', 'Punjabi Proficiency (Written)', 'Artificial intelligence']","Are you a detail-oriented individual with a passion for research and a good understanding of national and local geography? This opportunity allows you to work at your own pace and from the comfort of your own home.  
 
Key Responsibilities: 

1. Working on a project aimed at enhancing the content and quality of digital maps that are used by millions of people worldwide.
2. Completing research and evaluation tasks in a web-based environment such as verifying and comparing data, and determining the relevance and accuracy of information.
  
Join us today and be part of a dynamic and innovative team that is making a difference in the world!  
   
TELUS Digital AI Community:

Our global AI Community is a vibrant network of 1 million+ contributors from diverse backgrounds who help our customers collect, enhance, train, translate, and localize content to build better AI models. Become part of our growing community and make an impact supporting the machine learning models of some of the world’s largest brands.   
 
Qualification path:
  
No previous professional experience is required to apply to this role, however, working on this project will require you to pass the basic requirements and go through a standard assessment process. This is a part-time long-term project and your work will be subject to our standard quality assurance checks during the term of this agreement.   

Assessment:  

In order to be hired into the program, you’ll take an open book qualification exam that will determine your suitability for the position and complete ID verification. Our team will provide you with guidelines and learning materials before your qualification exam. You will be required to complete the exam in a specific timeframe but at your convenience.",6 days ago,2026-04-28,https://internshala.com/job/detail/fresher-remote-part-time-punjabi-speaking-online-data-analyst-job-at-telus-international-ai-inc1776832522,Internshala,Data Analyst,6.0,450000.0,460000.0,455000.0,0.0
Malayalam Language Data Analyst For Online,"TELUS International AI Inc. (Las Vegas, United States)",Remote,No experience required,"₹ 4,50,000 - 4,60,000",['Data Analytics'],"A Day in the Life of an Online Data Analyst: In this role, you will be working on a project aimed at enhancing the content and quality of digital maps used by millions of people worldwide.

Key Responsibilities:

1. Complete research and evaluation tasks in a web-based environment
2. Verify and compare data for accuracy and consistency
3. Determine the relevance and reliability of information

Join us today and be part of a dynamic and innovative team that is making a real impact.

TELUS Digital AI Community:

Our global AI Community is a network of over 1 million contributors from diverse backgrounds who help collect, enhance, train, translate, and localize content to build better AI models. Become part of this growing community and contribute to improving machine learning models for some of the world’s largest brands.

Assessment:

To be hired for the program, you will need to complete an open-book qualification exam to assess your suitability for the role, along with ID verification.

Our team will provide guidelines and learning materials before the exam. You will be required to complete the exam within a specified timeframe, at your convenience.

Equal Opportunity:

All qualified applicants will receive consideration for a contractual role without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or protected veteran status. TELUS Digital AI is committed to providing equal opportunities and fostering a diverse and inclusive community. All selection decisions are based on qualifications, merit, competence, and performance, without regard to any diversity-related characteristics.",3 weeks ago,2026-04-28,https://internshala.com/job/detail/fresher-remote-part-time-malayalam-language-data-analyst-for-online-job-at-telus-international-ai-inc1775020535,Internshala,Data Analyst,21.0,450000.0,460000.0,455000.0,0.0
Online Data Analyst – Marathi Speaker,"TELUS International AI Inc. (Las Vegas, United States)",Remote,No experience required,"₹ 4,50,000 - 4,60,000",['Data Analytics'],"Are you a detail-oriented individual with a passion for research and a good understanding of national and local geography? This freelance opportunity allows you to work at your own pace from the comfort of your home.

A Day in the Life of an Online Data Analyst:

In this role, you will be working on a project aimed at enhancing the content and quality of digital maps used by millions of people worldwide.

Key Responsibilities:

1. Complete research and evaluation tasks in a web-based environment
2. Verify and compare data for accuracy
3. Determine the relevance and reliability of information

Assessment:

To be hired for the program, you will need to complete an open-book qualification exam to assess your suitability for the role, along with ID verification.

Our team will provide guidelines and learning materials before the exam. You will be required to complete the exam within a specified timeframe, at your convenience.",3 weeks ago,2026-04-28,https://internshala.com/job/detail/fresher-remote-part-time-online-data-analyst--marathi-speaker-job-at-telus-international-ai-inc1775020206,Internshala,Data Analyst,21.0,450000.0,460000.0,455000.0,0.0
Online Data Analyst - Gujarati Language,"TELUS International AI Inc. (Las Vegas, United States)",Remote,No experience required,"₹ 4,50,000 - 4,60,000",['Data Analysis'],"A Day in the Life of an Online Data Analyst:

In this role, you will work on a project focused on enhancing the content and quality of digital maps used by millions of people worldwide.

Key Responsibilities:

1. Conducting research and completing evaluation tasks in a web-based environment
2. Verifying and comparing data for accuracy and consistency
3. Assessing the relevance and reliability of information",3 weeks ago,2026-04-28,https://internshala.com/job/detail/fresher-remote-part-time-online-data-analyst-gujarati-language-job-at-telus-international-ai-inc1775019986,Internshala,Data Analyst,21.0,450000.0,460000.0,455000.0,0.0
Remote Online Data Analyst (Urdu-Speaking),"TELUS International AI Inc. (Las Vegas, United States)",Remote,No experience required,"₹ 4,50,000 - 4,60,000","['Urdu Proficiency(Spoken)', 'Urdu Proficiency(Written)']","Key Responsibilities: 

1. Work on a project aimed at improving the content and quality of digital maps used by millions globally.
2. Perform research and review tasks in a web-based environment, such as data verification, comparison, and determining the relevance and accuracy of information.

Qualification path:

No professional experience is required to apply for this role. Before starting the work, you must meet basic requirements and go through a standard evaluation process. This is a part-time, long-term project, and the quality of your work will be assessed according to our review principles throughout the contract.

Assessment:

To be selected for this program, you will need to pass an open-book exam that determines your suitability for the position and complete identity verification. Our team will provide guidelines and learning materials before the exam. The exam must be completed within a specific timeframe, but at your convenience.",3 weeks ago,2026-04-28,https://internshala.com/job/detail/fresher-remote-part-time-remote-online-data-analyst-urdu-speaking-job-at-telus-international-ai-inc1774933359,Internshala,Data Analyst,21.0,450000.0,460000.0,455000.0,0.0
Remote Online Data Analyst (Tamil-Speaking),"TELUS International AI Inc. (Las Vegas, United States)",Remote,No experience required,"₹ 4,50,000 - 4,60,000","['Tamil Proficiency (Spoken)', 'Tamil Proficiency (Written)']","Key Responsibilities: 

1. Working on a project aimed at enhancing the content and quality of digital maps that are used by millions of people worldwide.
2. Completing research and evaluation tasks in a web-based environment, such as verifying and comparing data, and determining the relevance and accuracy of information.

Qualification path:

No previous professional experience is required to apply to this role; however, working on this project will require you to pass the basic requirements and go through a standard assessment process. This is a part-time long-term project, and your work will be subject to our standard quality assurance checks during the term of this agreement.

Assessment:

To be hired into the program, you’ll take an open-book qualification exam that will determine your suitability for the position and complete ID verification. Our team will provide you with guidelines and learning materials before your qualification exam. You will be required to complete the exam in a specific timeframe, but at your convenience.",3 weeks ago,2026-04-28,https://internshala.com/job/detail/fresher-remote-part-time-remote-online-data-analyst-tamil-speaking-job-at-telus-international-ai-inc1774933277,Internshala,Data Analyst,21.0,450000.0,460000.0,455000.0,0.0
Big Data Associate,PRGK & Associates,Bhadrak,No experience required,"₹ 3,35,000 - 5,50,000","['Java', 'Python', 'Google Analytics', 'MS-Excel', 'Power BI', 'Tableau']","Key Responsibilities:

1. Develop data pipelines and automate data processing using Java and Python
2. Create insightful and visually appealing reports using Power BI and Tableau
3. Analyze and manipulate large datasets in MS Excel to derive insights and trends
4. Implement Google Analytics to track and measure digital campaign and website performance
5. Collaborate with cross-functional teams to understand requirements and deliver data-driven solutions
6. Stay updated with industry trends and best practices in big data and analytics
7. Contribute ideas in team discussions to enhance data analytics capabilities",7 days ago,2026-04-28,https://internshala.com/job/detail/fresher-big-data-associate-job-in-multiple-locations-at-payal-jain1776769341,Internshala,Other,7.0,335000.0,550000.0,442500.0,0.0
Senior Data Engineer,Hire Right Search Partners,Noida,4 year(s),"₹ 25,00,000 - 35,00,000",[],"Hiring for a next-generation technology company building sovereign, secure, and scalable digital platforms across AI, Web3.0, cloud, and health-tech.
 Hands-on Senior Data Engineer to build and maintain scalable data pipelines, lake house architecture, and analytics infrastructure. Work with modern open-source technologies to enable data-driven insights and GenAI-powered analytics capabilities. Key Responsibilities Data Ingestion & ETL Build and maintain data pipelines using Airbyte from multiple sources Configure connectors for databases (PostgreSQL, MySQL, MongoDB), APIs, SaaS applications  Implement CDC for real-time data replication or using kafka streaming Design incremental and full-load sync strategies Ensure data validation and quality checks Workflow Orchestration Develop and maintain Airflow DAGs for ETL workflows  Implement error handling, retry logic, and monitoring Schedule complex multi-step data pipelines  Integrate with databases, APIs, and external systemsData Warehouse & Analytics Design and optimize ClickHouse schemas for OLAP Write advanced SQL queries and optimize performance  Implement materialized views and aggregations Manage data partitioning and retention policies Build data marts for analytics use cases Lake House Architecture  Implement data lake house on object storage (Cloudian) Design data partitioning strategies (by date, region) Work with Parquet/ORC file formats  Implement access control and data governance BI & Dashboards Support Apache Superset and Power BI dashboard development",3 weeks ago,2026-04-28,https://internshala.com/job/detail/senior-data-engineer-job-in-noida-at-hire-right-search-partners1775003416,Internshala,Data Engineer,21.0,2500000.0,3500000.0,3000000.0,4.0
Data/Analytics Lead,Hire Right Search Partners,Noida,6 year(s),"₹ 25,00,000 - 32,00,000",[],"Hiring for a next-generation technology company building sovereign, secure, and scalable digital platforms across AI, Web3.0, cloud, and health-tech.Lead the design and implementation of a modern analytics platform using 100% open-source technologies. Build scalable data pipelines, lake house architecture, and BI infrastructure from scratch. Manage 4-6 data engineers. Key Responsibilities Leadership & Strategy Lead team of 4-6 data engineers Define analytics platform architecture and roadmap Build data platform from scratch using open-source tools Establish data governance and quality frameworks Platform Architecture Design end-to-end analytics platform on open-source stack Build data lake house on Cloudian object storage Architect ClickHouse for OLAP (sub-second queries) Design multi-source ingestion (APIs, databases, SaaS)  Implement real-time and batch pipelines Data Ingestion & ETL Build pipelines using Airbyte (CDC, connectors, validation) Orchestrate workflows with Apache Airflow (DAGs, monitoring, error handling) Design incremental/full-load strategies,Data Streaming using KafkaData Warehouse & Analytics Optimize ClickHouse (materialized views, distributed tables) Design dimensional models (star/snowflake schemas) Build semantic layers for consistent metrics BI Platform Deploy Apache Superset for self-service analytics  Integrate Power BI (optional)  Implement Redis caching for performance Data Quality & Governance  Implement quality frameworks (Great Expectations, Soda) Build data reconciliation automation Establish data lineage, cataloging, compliance (GDPR) Performance & Automation Write Python automation tools and custom connectors, Implement CI/CD for data pipelines Optimize costs and performance",3 weeks ago,2026-04-28,https://internshala.com/job/detail/data-analytics-lead-job-in-noida-at-hire-right-search-partners1775003415,Internshala,Analytics,21.0,2500000.0,3200000.0,2850000.0,6.0
Senior ETL Consultant,ALIQAN Technologies,Bangalore,8 year(s),"₹ 18,00,000 - 24,00,000",[],"What Were Looking For
 
 
 We are hiring a seasoned expert who walks in, understands our ecosystem, identifies gaps, and drives measurable outcomeswithout needing to be told what to do next.
  
This is a hands-on, high-ownership engagement. You will be embedded into our data team to assess the current state of our data pipelines, identify and fix inefficiencies, and build a more reliable, scalable, and insight-ready data foundation. The right candidate combines deep technical expertise with business acumen and a strong bias toward delivering working solutions over endless discussion.Key Responsibilities
 
1. Current State Assessment & Pipeline Audit
    Independently explore, understand, and document the existing data infrastructure, pipeline architecture, and data flows without requiring hand-holding.
    Identify bottlenecks, redundancies, anti-patterns, and reliability risks across ETL workflows.
    Deliver a clear, prioritized assessment report within the first two weeks, outlining findings and a recommended action plan.
2. ETL Pipeline Design & Engineering
    Redesign and rebuild fragile or inefficient pipelines using industry best practices.
    Develop robust, scalable ETL workflows using Amazon Glue and other relevant tools.
    Handle data ingestion from diverse sources including relational databases, APIs, flat files, and logs.
    Write and optimize complex SQL queries to support analytics and reporting requirements.
    Set up or improve data warehouse and data mart structures aligned with business reporting needs.
3. Monitoring, Reliability & Documentation
    Implement or enhance monitoring frameworks and automated alerting for pipeline failures and data anomalies.
    Ensure pipelines are auditable, observable, and maintainable by the internal team post-engagement.
    Produce clear documentation covering data flows, transformation logic, dependencies, and operational runbooksso nothing leaves with you.
4. Business Intelligence & Analytics Enablement
    Translate business processes and KPIs into structured, well-modeled data assets.
    Build or improve dashboards and BI reports in Power BI or equivalent tools.
    Proactively identify where data gaps or inconsistencies may be causing incorrect reporting or decision-making, and fix them.
    Define and standardize metric definitions to ensure consistency across dashboards and teams.
5. AI / ML Exploration & POCs
    Identify practical AI/ML use cases relevant to the business and independently prototype solutions.
    Build working proof-of-concepts for areas such as Natural Language to SQL, pipeline anomaly detection, or BI automation.
    Deliver POCs that are demo-ready and clearly documented, not just theoretical.Non-Negotiable Expectations
 
 
 
 Proactive Discovery
You should be able to explore our systems, documentation, and data independently. We expect questions when clarification is genuinely needednot as a substitute for self-directed investigation.
 
 Bias Toward Delivery
We value working deliverables over long assessments or wait-and-see postures. You should be delivering early, iterating often, and demonstrating progress every week.
 
 Business-Aware Thinking
You understand that data engineering exists to serve business outcomes. Your decisions on data modeling, pipeline design, and reporting should always connect back to business impact.
 
 Proactive Communication
Raise blockers early. Share what youve found. Suggest improvements before being asked. Do not wait for a task listbuild one yourself based on what you discover.
 
 Leave It Better Than You Found It
Every system you touch should be more reliable, better documented, and easier for the internal team to maintain after you leave.
 
 Collaborative Independence
Work closely with internal stakeholders and the product team to understand contextbut do not depend on them for technical decisions. Own those yourself.
  Required Skills & Experience
 
Core Technical Skills
    8+ years of hands-on experience in data engineering and ETL development
    Expert-level proficiency in ETL pipeline design, development, and optimization
    Hands-on experience with Amazon Glue (mandatory)
    Advanced SQL: complex queries, performance tuning, window functions, indexing strategies
    Data warehouse and data mart design: dimensional modeling, star/snowflake schemas
    Data ingestion from heterogeneous sources: APIs, RDBMS, flat files, streaming, logs
    Monitoring and alerting setup for data pipelines (failure detection, SLA monitoring)
    Power BI or equivalent BI tool for dashboard and report development
Architecture & Engineering Mindset
    Strong data modeling fundamentals and ability to independently design scalable models
    Experience auditing and refactoring existing pipelines in production environments
    Familiarity with cloud data platforms (AWS preferred): S3, Redshift, RDS, Lambda
    Comfortable working in environments where documentation may be sparse or incomplete
AI / ML Exposure (Desirable)
    Exposure to ML pipelines, feature stores, or data preparation for model training
    Hands-on experience or experimentation with NLP-to-SQL, LLM-powered analytics, or similar AI-driven BI tools
    Ability to rapidly prototype and validate AI/ML use cases independently
Soft Skills That Matter for This Role
    Self-directed: comfortable starting from ambiguity and structuring your own workplan
    Strong communicator: can explain technical findings clearly to non-technical stakeholders
    Problem-first thinking: approaches data issues from a business impact lens, not just a technical one
    High ownership: treats the engagement outcomes as your own, not just billable hours
 
Candidates who require constant direction need not apply. We are looking for someone who turns ambiguity into action.",3 weeks ago,2026-04-28,https://internshala.com/job/detail/senior-etl-consultant-job-in-bangalore-at-aliqan-technologies1774485009,Internshala,Other,21.0,1800000.0,2400000.0,2100000.0,8.0
